id,name,image_url,description,rarity
TCB-023,蓮の葉,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-023_R.jpg,"目: よそ見
口: 茫然
アクセサリー: 蓮の葉
背景: 水面
種族: YWY",R
TCB-024,アナグリフグラス,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-024_R.jpg,"口: べぇ
アイウェア: アナグリフグラス
背景: 3D
種族: IMHY",R
TCB-025,ゾンビフェイス,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-025_R.jpg,"マスク: ゾンビフェイス
種族: GPLGSG",R
TCB-026,くま顔,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-026_R.jpg,"マスク: くま顔
背景: 豹柄
種族: ODYS",R
TCB-027,記号の顔 ×,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-027_SR.jpg,"目: ノーマル
口: 茫然
マスク: 記号の顔
種族: PCCPGRV",SR
TCB-028,猫耳ヘルメット,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-028_SR.jpg,"目: ウインク
コスチューム: 猫耳ヘルメット
背景: グリッドレインボー
種族: PSPDPR",SR
TCB-029,メカお花,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-029_SR.jpg,"コスチューム: メカお花
種族: YHYLL",SR
TCB-030,キキの耳,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-030_SR.jpg,"口: 笑顔
コスチューム: ききの耳
種族: RVLCFP",SR
TCB-031,滝行,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-031_SR.jpg,"コスチューム: 滝行
種族: PYLG",SR
TCB-032,記号の顔 ◯,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-032_SR.jpg,"マスク: 記号の顔
背景: ホワイトキューブ
種族: CRRRV",SR
TCB-033,お花ぎっしり,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-033_UR.jpg,"目: ノーマル
口: 笑顔
背景: お花ぎっしり
種族: LBDRCR",UR
TCB-034,地球,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-034_UR.jpg,"目: ウインク
口: 笑顔
背景: 地球
種族: TBBBNB",UR
TCB-035,オッドペタル,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-035_UR.jpg,"目: びっくり
口: べぇ
コスチューム: オッドペタル
種族: PLGPGLLLG",UR
TCB-036,豪華客船,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-036_UR.jpg,"コスチューム: 子供お花
コスチューム: 赤ちゃんお花
コスチューム: 豪華客船
種族: LRLOLRLO",UR
TCB-037,咲里さり 選える,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-037_SA.jpg,"コスチューム: お花髪
アクセサリー: お花のステッキ
背景: 幽玄の墓苑",SA
TCB-038,銀嶺ぎんれい ソラ,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-038_SA.jpg,"コスチューム: バッドウィング
アクセサリー: MFストーン & FGWストーン
背景: 夜明けのコンビニ",SA
TCB-039,筑波嶺つくばね 美南みなみ,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-039_SA.jpg,"コスチューム: とんがり帽子
アクセサリー: お花の杖",SA
TCB-040,蝙蝠こうもり 到いたる,https://mfctc.kaikaikiki.comassets/images/card/JP_TCB-040_SA.jpg,"コスチューム: とんがり君ヘッドギア・バッドウィング
アクセサリー: FGWストーン＆杖
スペシャル: コウモリ
背景: 空中都市",SA
